,RepSeatShare,RepVoteShare
0,0.40877598152424943,0.4647622734044047
1,0.4780600461893764,0.5023424946511089
2,0.5311778290993071,0.4868718041643126
3,0.48036951501154734,0.47550364958723107
4,0.48267898383371827,0.4871351643857352
5,0.3741339491916859,0.45007301043833503
6,0.4045977011494253,0.45636316759067813
7,0.42488262910798125,0.4850523867590617
8,0.3325635103926097,0.42750687715205105
9,0.4387990762124711,0.4922690276108361
10,0.4447004608294931,0.4915725458463516
11,0.4160919540229885,0.4577522534097027
12,0.4413793103448276,0.47183370528068
13,0.3333333333333333,0.41433233960289306
14,0.32873563218390806,0.4280638986495879
15,0.36551724137931035,0.4574839987802713
16,0.4413793103448276,0.4876696952790406
17,0.3793103448275862,0.43903649200672845
18,0.4206896551724138,0.47316174645329295
19,0.4091954022988506,0.4491269056236935
20,0.40229885057471265,0.46019409602459616
21,0.38850574712643676,0.4596872822408949
22,0.4068965517241379,0.4717656441694124
23,0.5310344827586206,0.5359562161843954
24,0.5218390804597701,0.499124607621655
25,0.5149425287356322,0.5061929092126036
26,0.5103448275862069,0.5024160746330257
27,0.5287356321839081,0.5252360035341029
28,0.5379310344827586,0.513991405556983
29,0.4666666666666667,0.45951253285275573
30,0.4091954022988506,0.444394074005522
31,0.5558194774346793,0.5347439697613223
32,0.5379310344827586,0.49540850580201845
33,0.5655172413793104,0.5290838930533993
34,0.5540229885057472,0.5072048047105016
35,0.46206896551724136,0.4571699439023469
36,0.4896551724137931,0.4874277933249046
